Designator,Mid X,Mid Y,Rotation,Layer
C1,77.0,146.33325,90.0,bottom
C10,33.75,74.25,270.0,top
C11,35.5,74.225,270.0,top
C12,37.25,74.25,270.0,top
C13,38.75,74.25,270.0,top
C14,47.7,73.5,180.0,top
C15,47.7,75.1,0.0,top
C16,52.9,75.1,0.0,top
C17,52.9,73.5,180.0,top
C18,42.9,73.5,180.0,top
C19,42.9,75.1,0.0,top
C2,77.0,108.33325,90.0,bottom
C20,27.75,73.25,180.0,top
C21,53.8,119.6,90.0,top
C22,55.6,119.6,90.0,top
C23,43.25,160.0,90.0,top
C24,62.125,123.1,0.0,top
C25,53.7,124.4,270.0,top
C26,55.5,48.25,180.0,top
C27,41.5,160.0,90.0,top
C28,36.75,154.0,270.0,top
C29,31.5,147.75,90.0,top
C3,77.0,70.6665,90.0,bottom
C30,31.5,136.75,90.0,top
C31,16.75,162.25,180.0,top
C32,4.25,106.25,180.0,top
C33,74.402,11.958,0.0,top
C34,79.482,10.942,0.0,top
C35,74.402,25.674,0.0,top
C36,77.704,25.674,180.0,top
C37,75.5,6.5,90.0,top
C38,40.75,62.025,90.0,top
C39,38.25,60.5,0.0,top
C4,77.0,32.6665,90.0,bottom
C40,55.3,124.4,270.0,top
C41,42.652,33.322,180.0,top
C42,30.0,18.0,90.0,top
C43,43.85,28.344996,90.0,top
C45,26.5,20.5,90.0,top
C46,94.25,18.0,0.0,top
C47,94.0,25.0,0.0,top
C48,101.0,26.5,90.0,top
C49,101.0,15.25,270.0,top
C5,83.8,156.1,270.0,top
C50,7.7,155.6,180.0,top
C51,22.25,80.0,270.0,top
C52,35.75,59.75,90.0,top
C53,31.75,67.0,180.0,top
C54,38.075,70.75,0.0,top
C55,45.025,63.25,180.0,top
C56,33.25,60.0,0.0,top
C6,27.75,75.0,180.0,top
C7,23.5,162.25,180.0,top
C8,30.25,74.25,270.0,top
C9,32.0,74.25,270.0,top
D10,29.0,20.5,180.0,top
D11,46.75,65.0,0.0,top
D15V1,54.0,2.6,90.0,top
D3,79.0,156.0,0.0,top
D3V3,56.8,2.5,90.0,top
D4,9.45,71.3125,0.0,top
D5,9.0,99.5,270.0,top
D6,43.75,116.0,180.0,top
D7,63.5,116.0,0.0,top
D8,34.0,57.75,270.0,top
D9,42.652,31.572,0.0,top
Fan1,4.0,101.0,90.0,top
Fan2,4.0,79.0,90.0,top
J10,13.0,5.5,0.0,top
J3,79.46,3.5,0.0,top
J4,34.5,5.5,0.0,top
J5,52.0,132.4,90.0,top
J6,54.0,25.475,180.0,top
